Species (English and scientific names),Taxonomic group,COSEWIC Status,SARA Status,Page on SARA registry,Timeline,After 2017?,Lag (days) Minister -> GiC Receipt,Aquatic_vs_terrestrial,Consultation_Pathway,Last Minister Receipt,date_1,doc_type_1,date_2,doc_type_2,date_3,doc_type_3,date_4,doc_type_4,date_5,doc_type_5,date_6,doc_type_6,date_7,doc_type_7,date_8,doc_type_8,date_9,doc_type_9,date_10,doc_type_10,date_11,doc_type_11,date_12,doc_type_12,date_13,doc_type_13,date_14,doc_type_14,date_15,doc_type_15,date_16,doc_type_16,date_17,doc_type_17,date_18,doc_type_18
"Atlantic Cod (Gadus morhua), Maritimes population",Fishes (marine),Non-active,Not on Schedule 1,https://species-registry.canada.ca/index-en.html#/species/763-290,No GiC Receipt,FALSE,0,,,2004-04-21T07:00:00Z,2004-04-21T07:00:00Z,1_Response_Statement,2005-12-10T08:00:00Z,5_GiC_Listing_Decision,2006-04-19T07:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bering Wolffish (Anarhichas orientalis),Fishes (marine),Data Deficient,Not on Schedule 1,https://species-registry.canada.ca/index-en.html#/species/86-526,No GiC Receipt,FALSE,0,,,2004-04-21T07:00:00Z,2004-04-21T07:00:00Z,1_Response_Statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bird's-foot Violet (Viola pedata),Vascular Plants,Endangered,Endangered,https://species-registry.canada.ca/index-en.html#/species/209-167,No GiC Receipt (no change needed),FALSE,0,,,2004-04-21T07:00:00Z,2004-03-03T08:00:00Z,2_Consultation_Begin,2004-04-21T07:00:00Z,1_Response_Statement,2004-04-21T07:00:00Z,4_GiC_Receipt,2004-06-14T07:00:00Z,3_Consultation_End,2004-10-23T07:00:00Z,5_GiC_Listing_Decision,2005-01-12T08:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blackline Prickleback (Acantholumpenus mackayi),Fishes (marine),Data Deficient,Not on Schedule 1,https://species-registry.canada.ca/index-en.html#/species/90-527,No GiC Receipt,FALSE,0,,,2004-04-21T07:00:00Z,2004-04-21T07:00:00Z,1_Response_Statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canadian Toad (Bufo hemiophrys),Amphibians,Not at Risk,Not on Schedule 1,https://species-registry.canada.ca/index-en.html#/species/758-0,No GiC Receipt,FALSE,0,,,2004-04-21T07:00:00Z,2004-04-21T07:00:00Z,1_Response_Statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Channel Darter (Percina copelandi),Fishes (freshwater),Non-active,Not on Schedule 1,https://species-registry.canada.ca/index-en.html#/species/74-53,No GiC Receipt,FALSE,0,,,2004-04-21T07:00:00Z,2004-04-19T07:00:00Z,2_Consultation_Begin,2004-04-21T07:00:00Z,1_Response_Statement,2004-07-14T07:00:00Z,3_Consultation_End,2005-12-10T08:00:00Z,5_GiC_Listing_Decision,2006-04-19T07:00:00Z,5_GiC_Listing_Decision,2017-10-24T07:00:00Z,0_COSEWIC_Assessment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiselmouth (Acrocheilus alutaceus),Fishes (freshwater),Not at Risk,Not on Schedule 1,https://species-registry.canada.ca/index-en.html#/species/500-0,No GiC Receipt,FALSE,0,,,2004-04-21T07:00:00Z,2004-04-21T07:00:00Z,1_Response_Statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Climbing Prairie Rose (Rosa setigera),Vascular Plants,Special Concern,Special Concern,https://species-registry.canada.ca/index-en.html#/species/245-87,No GiC Receipt (no change needed),FALSE,0,,,2004-04-21T07:00:00Z,2004-03-03T08:00:00Z,2_Consultation_Begin,2004-04-21T07:00:00Z,1_Response_Statement,2004-04-21T07:00:00Z,4_GiC_Receipt,2004-06-14T07:00:00Z,3_Consultation_End,2004-10-23T07:00:00Z,5_GiC_Listing_Decision,2005-01-12T08:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coastal Scouler's Catchfly (Silene scouleri ssp. grandis),Vascular Plants,Endangered,Endangered,https://species-registry.canada.ca/index-en.html#/species/775-307,No GiC Receipt (no change needed),FALSE,0,,,2004-04-21T07:00:00Z,2003-12-22T08:00:00Z,0_COSEWIC_Assessment,2004-03-03T08:00:00Z,2_Consultation_Begin,2004-04-21T07:00:00Z,1_Response_Statement,2004-04-21T07:00:00Z,4_GiC_Receipt,2004-06-14T07:00:00Z,3_Consultation_End,2004-10-23T07:00:00Z,5_GiC_Listing_Decision,2005-01-12T08:00:00Z,5_GiC_Listing_Decision,2022-02-16T08:00:00Z,5_GiC_Listing_Decision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DeKay's Brownsnake (Storeria dekayi),Reptiles,Not at Risk,Not on Schedule 1,https://species-registry.canada.ca/index-en.html#/species/707-0,No GiC Receipt,FALSE,0,,,2004-04-21T07:00:00Z,2004-04-21T07:00:00Z,1_Response_Statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
